"varu-/tjänstegrupp","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1113  vetebröd",98.64,101.07,102.93,107.97,102.11,100.40,103.33,101.74,100.73,99.60,99.51,100.47,100.66,102.28,104.62
"1114  wienerbröd",101.15,101.15,103.71,107.52,102.72,101.43,103.18,100.56,96.65,98.80,105.16,100.23,92.52,102.13,106.42
"1116  småkakor",100.75,100.29,98.29,104.15,100.20,99.62,101.31,102.47,103.54,102.06,102.92,98.84,100.87,100.72,102.40
"1122  hårt bröd",99.42,95.97,104.04,110.13,100.19,99.02,100.86,100.19,101.77,99.71,101.73,100.07,98.99,100.30,105.23
"1125  ris",94.89,100.81,103.06,110.56,107.33,96.89,102.78,97.58,102.44,101.75,100.79,100.86,100.07,101.45,104.52
"1127  pasta",100.25,100.08,101.70,122.12,103.64,100.38,100.82,100.79,98.89,98.44,102.13,100.85,99.91,100.35,103.29
"1130  spannmålsbaserade maträtter",95.45,95.95,100.65,106.55,101.38,99.26,99.82,99.67,98.88,100.22,100.84,100.19,101.32,100.92,102.46
"1131  kex och skorpor",99.06,98.69,101.35,106.85,102.17,100.14,104.07,103.19,100.78,101.33,101.01,99.55,99.19,100.79,103.00
"1132  vällingpulver och mixer",96.89,97.33,103.55,103.10,98.54,101.35,102.22,99.98,102.01,100.50,98.79,101.63,110.37,98.66,105.04
"1136  mjöl",97.62,99.44,111.10,121.48,97.04,96.10,115.23,98.77,104.61,97.57,101.76,106.57,99.20,99.28,109.26
"1137  gryn",98.21,99.32,104.34,108.36,101.01,99.76,102.59,103.13,100.54,98.56,96.60,100.53,99.82,101.10,111.11
"1141  grovt bröd",101.64,100.33,105.07,107.09,101.71,100.56,105.86,102.77,99.42,99.51,100.69,99.87,99.69,102.57,105.38
"1142  franska",98.99,100.84,106.51,115.94,104.16,104.40,105.86,100.83,99.00,99.60,99.87,100.04,100.86,101.35,105.13
"1143  bakverk",98.96,98.56,102.04,107.87,102.06,99.36,100.94,100.39,100.64,100.83,100.95,99.64,98.85,100.91,102.20
"1146  frukostflingor",..,..,..,..,..,..,..,..,..,..,103.51,105.10,100.34,99.76,102.01
"1229  nötkött",105.57,106.23,102.28,115.05,102.02,101.31,102.65,104.85,104.36,99.25,100.93,103.93,101.59,102.72,99.79
"1230  griskött",101.28,103.70,101.35,106.27,104.39,99.06,100.68,102.80,103.10,99.15,99.69,101.75,101.56,101.43,100.63
"1232  oblandad chark",99.17,101.48,101.21,104.17,104.99,100.98,98.10,100.31,102.29,98.61,101.13,99.66,101.12,101.55,102.29
"1233  blandad chark",99.67,100.00,100.30,103.85,102.78,99.60,99.19,101.55,103.35,100.15,100.80,100.19,100.12,101.23,103.32
"1235  köttkonserver",96.89,98.51,102.48,102.69,100.92,99.94,96.75,102.47,103.87,100.11,97.71,101.30,100.33,102.20,106.82
"1238  annat kött",102.32,99.02,102.32,97.80,105.93,102.06,102.09,107.32,104.09,101.46,98.10,104.00,103.14,102.19,102.44
"1240  fjäderfän",98.60,99.40,99.12,109.93,101.35,100.23,100.83,100.95,103.10,96.79,104.91,100.80,99.08,101.43,104.63
"1245  djupfryst berett kött",98.32,100.02,101.76,106.40,104.64,100.85,100.94,100.64,104.22,103.04,101.31,100.58,102.18,102.10,104.93
"1251  lammkött",..,..,..,..,..,..,..,..,..,..,98.10,107.09,108.23,103.51,102.38
"1314  torskfilé",109.96,112.41,115.12,117.05,88.14,96.28,92.34,102.76,92.86,98.98,107.04,103.00,103.18,103.70,115.31
"1315  djupfryst fisk",97.66,100.77,102.93,104.07,106.58,101.52,98.35,100.46,97.62,95.36,100.28,104.36,115.01,102.92,105.88
"1316  djupfrysta skaldjur",104.46,99.86,100.25,102.56,111.83,101.86,104.57,109.12,99.80,101.91,105.01,101.78,94.29,101.50,101.62
"1318  sillkonserver",97.02,98.85,99.60,103.74,107.07,100.94,100.65,107.45,124.20,85.90,106.31,101.30,102.37,104.78,97.27
"1319  kaviar",97.73,99.29,97.95,99.85,102.07,103.35,98.91,100.12,99.05,97.65,100.41,99.23,97.26,104.96,105.11
